hsaID,geneID,Gene,Pathway
hsa00140,3290,HSD11B1,Steroid hormone biosynthesis
hsa00190,4708,NDUFB2,Oxidative phosphorylation
hsa00190,56901,NDUFA4L2,Oxidative phosphorylation
hsa00190,10975,UQCR11,Oxidative phosphorylation
hsa00190,1339,COX6A2,Oxidative phosphorylation
hsa00190,527,ATP6V0C,Oxidative phosphorylation
hsa00190,27089,UQCRQ,Oxidative phosphorylation
hsa00190,506,ATP5F1B,Oxidative phosphorylation
hsa00190,10632,ATP5MG,Oxidative phosphorylation
hsa00190,514,ATP5F1E,Oxidative phosphorylation
hsa00190,1327,COX4I1,Oxidative phosphorylation
hsa00190,4697,NDUFA4,Oxidative phosphorylation
hsa00190,1350,COX7C,Oxidative phosphorylation
hsa00190,4725,NDUFS5,Oxidative phosphorylation
hsa00190,1346,COX7A1,Oxidative phosphorylation
hsa00190,509,ATP5F1C,Oxidative phosphorylation
hsa00220,383,ARG1,Arginine biosynthesis
hsa00220,1373,CPS1,Arginine biosynthesis
hsa00220,2875,GPT,Arginine biosynthesis
hsa00220,790,CAD,Arginine biosynthesis
hsa00230,51816,ADA2,Purine metabolism
hsa00230,270,AMPD1,Purine metabolism
hsa00230,5198,PFAS,Purine metabolism
hsa00230,2272,FHIT,Purine metabolism
hsa00230,159,ADSS2,Purine metabolism
hsa00230,22875,ENPP4,Purine metabolism
hsa00232,10,NAT2,Caffeine metabolism
hsa00240,790,CAD,Pyrimidine metabolism
hsa00240,7083,TK1,Pyrimidine metabolism
hsa00250,8528,DDO,Alanine, aspartate and glutamate metabolism
hsa00250,790,CAD,Alanine, aspartate and glutamate metabolism
hsa00250,2875,GPT,Alanine, aspartate and glutamate metabolism
hsa00250,1373,CPS1,Alanine, aspartate and glutamate metabolism
hsa00250,2346,FOLH1,Alanine, aspartate and glutamate metabolism
hsa00250,159,ADSS2,Alanine, aspartate and glutamate metabolism
hsa00260,2731,GLDC,Glycine, serine and threonine metabolism
hsa00260,1610,DAO,Glycine, serine and threonine metabolism
hsa00260,27232,GNMT,Glycine, serine and threonine metabolism
hsa00260,875,CBS,Glycine, serine and threonine metabolism
hsa00270,1789,DNMT3B,Cysteine and methionine metabolism
hsa00270,4143,MAT1A,Cysteine and methionine metabolism
hsa00270,6611,SMS,Cysteine and methionine metabolism
hsa00270,262,AMD1,Cysteine and methionine metabolism
hsa00270,1788,DNMT3A,Cysteine and methionine metabolism
hsa00270,27232,GNMT,Cysteine and methionine metabolism
hsa00270,3948,LDHC,Cysteine and methionine metabolism
hsa00270,2937,GSS,Cysteine and methionine metabolism
hsa00270,1036,CDO1,Cysteine and methionine metabolism
hsa00270,4548,MTR,Cysteine and methionine metabolism
hsa00270,883,KYAT1,Cysteine and methionine metabolism
hsa00270,3939,LDHA,Cysteine and methionine metabolism
hsa00270,875,CBS,Cysteine and methionine metabolism
hsa00270,92483,LDHAL6B,Cysteine and methionine metabolism
hsa00280,35,ACADS,Valine, leucine and isoleucine degradation
hsa00280,3158,HMGCS2,Valine, leucine and isoleucine degradation
hsa00310,79823,CAMKMT,Lysine degradation
hsa00310,23127,COLGALT2,Lysine degradation
hsa00310,10157,AASS,Lysine degradation
hsa00330,6611,SMS,Arginine and proline metabolism
hsa00330,1158,CKM,Arginine and proline metabolism
hsa00330,1152,CKB,Arginine and proline metabolism
hsa00330,383,ARG1,Arginine and proline metabolism
hsa00330,262,AMD1,Arginine and proline metabolism
hsa00330,1160,CKMT2,Arginine and proline metabolism
hsa00330,1610,DAO,Arginine and proline metabolism
hsa00340,3067,HDC,Histidine metabolism
hsa00340,3034,HAL,Histidine metabolism
hsa00340,10841,FTCD,Histidine metabolism
hsa00340,218,ALDH3A1,Histidine metabolism
hsa00350,7054,TH,Tyrosine metabolism
hsa00350,3242,HPD,Tyrosine metabolism
hsa00350,1644,DDC,Tyrosine metabolism
hsa00350,1638,DCT,Tyrosine metabolism
hsa00350,131,ADH7,Tyrosine metabolism
hsa00350,4282,MIF,Tyrosine metabolism
hsa00350,1621,DBH,Tyrosine metabolism
hsa00350,2184,FAH,Tyrosine metabolism
hsa00350,218,ALDH3A1,Tyrosine metabolism
hsa00350,3081,HGD,Tyrosine metabolism
hsa00360,4282,MIF,Phenylalanine metabolism
hsa00360,3242,HPD,Phenylalanine metabolism
hsa00360,1644,DDC,Phenylalanine metabolism
hsa00360,218,ALDH3A1,Phenylalanine metabolism
hsa00380,1644,DDC,Tryptophan metabolism
hsa00380,8564,KMO,Tryptophan metabolism
hsa00380,883,KYAT1,Tryptophan metabolism
hsa00380,23498,HAAO,Tryptophan metabolism
hsa00380,15,AANAT,Tryptophan metabolism
hsa00410,218,ALDH3A1,beta-Alanine metabolism
hsa00410,23417,MLYCD,beta-Alanine metabolism
hsa00410,35,ACADS,beta-Alanine metabolism
hsa00430,2328,FMO3,Taurine and hypotaurine metabolism
hsa00430,1036,CDO1,Taurine and hypotaurine metabolism
hsa00430,2326,FMO1,Taurine and hypotaurine metabolism
hsa00450,4548,MTR,Selenocompound metabolism
hsa00450,883,KYAT1,Selenocompound metabolism
hsa00470,1610,DAO,D-Amino acid metabolism
hsa00470,8528,DDO,D-Amino acid metabolism
hsa00480,2880,GPX5,Glutathione metabolism
hsa00480,2879,GPX4,Glutathione metabolism
hsa00480,6611,SMS,Glutathione metabolism
hsa00480,2953,GSTT2,Glutathione metabolism
hsa00480,2937,GSS,Glutathione metabolism
hsa00480,2944,GSTM1,Glutathione metabolism
hsa00480,27306,HPGDS,Glutathione metabolism
hsa00480,9588,PRDX6,Glutathione metabolism
hsa00480,25774,GSTT4,Glutathione metabolism
hsa00480,2938,GSTA1,Glutathione metabolism
hsa00480,2949,GSTM5,Glutathione metabolism
hsa00480,2948,GSTM4,Glutathione metabolism
hsa00500,3101,HK3,Starch and sucrose metabolism
hsa00500,80201,HKDC1,Starch and sucrose metabolism
hsa00500,2998,GYS2,Starch and sucrose metabolism
hsa00500,8908,GYG2,Starch and sucrose metabolism
hsa00500,57818,G6PC2,Starch and sucrose metabolism
hsa00510,7841,MOGS,N-Glycan biosynthesis
hsa00511,4759,NEU2,Other glycan degradation
hsa00514,23127,COLGALT2,Other types of O-glycan biosynthesis
hsa00514,3955,LFNG,Other types of O-glycan biosynthesis
hsa00515,2526,FUT4,Mannose type O-glycan biosynthesis
hsa00515,10690,FUT9,Mannose type O-glycan biosynthesis
hsa00515,9215,LARGE1,Mannose type O-glycan biosynthesis
hsa00515,79147,FKRP,Mannose type O-glycan biosynthesis
hsa00520,80201,HKDC1,Amino sugar and nucleotide sugar metabolism
hsa00520,3101,HK3,Amino sugar and nucleotide sugar metabolism
hsa00524,80201,HKDC1,Neomycin, kanamycin and gentamicin biosynthesis
hsa00524,3101,HK3,Neomycin, kanamycin and gentamicin biosynthesis
hsa00531,3425,IDUA,Glycosaminoglycan degradation
hsa00531,411,ARSB,Glycosaminoglycan degradation
hsa00531,3373,HYAL1,Glycosaminoglycan degradation
hsa00531,8372,HYAL3,Glycosaminoglycan degradation
hsa00531,23553,HYAL4,Glycosaminoglycan degradation
hsa00531,10855,HPSE,Glycosaminoglycan degradation
hsa00531,60495,HPSE2,Glycosaminoglycan degradation
hsa00532,29940,DSE,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
hsa00534,9953,HS3ST3B1,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
hsa00534,8509,NDST2,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
hsa00534,9348,NDST3,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
hsa00534,64579,NDST4,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
hsa00534,9956,HS3ST2,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
hsa00534,9955,HS3ST3A1,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
hsa00561,4023,LPL,Glycerolipid metabolism
hsa00561,8527,DGKD,Glycerolipid metabolism
hsa00561,9388,LIPG,Glycerolipid metabolism
hsa00561,1609,DGKQ,Glycerolipid metabolism
hsa00561,2712,GK2,Glycerolipid metabolism
hsa00561,9162,DGKI,Glycerolipid metabolism
hsa00561,8513,LIPF,Glycerolipid metabolism
hsa00561,1607,DGKB,Glycerolipid metabolism
hsa00561,1608,DGKG,Glycerolipid metabolism
hsa00561,80168,MOGAT2,Glycerolipid metabolism
hsa00561,8694,DGAT1,Glycerolipid metabolism
hsa00561,3990,LIPC,Glycerolipid metabolism
hsa00562,5336,PLCG2,Inositol phosphate metabolism
hsa00562,9108,MTMR7,Inositol phosphate metabolism
hsa00562,3631,INPP4A,Inositol phosphate metabolism
hsa00562,22876,INPP5F,Inositol phosphate metabolism
hsa00562,27124,INPP5J,Inositol phosphate metabolism
hsa00562,3706,ITPKA,Inositol phosphate metabolism
hsa00562,9677,PPIP5K1,Inositol phosphate metabolism
hsa00563,2822,GPLD1,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
hsa00564,9162,DGKI,Glycerophospholipid metabolism
hsa00564,1607,DGKB,Glycerophospholipid metabolism
hsa00564,2819,GPD1,Glycerophospholipid metabolism
hsa00564,1609,DGKQ,Glycerophospholipid metabolism
hsa00564,1608,DGKG,Glycerophospholipid metabolism
hsa00564,8527,DGKD,Glycerophospholipid metabolism
hsa00564,43,ACHE,Glycerophospholipid metabolism
hsa00564,3931,LCAT,Glycerophospholipid metabolism
hsa00590,247,ALOX15B,Arachidonic acid metabolism
hsa00590,239,ALOX12,Arachidonic acid metabolism
hsa00590,59344,ALOXE3,Arachidonic acid metabolism
hsa00590,2879,GPX4,Arachidonic acid metabolism
hsa00590,242,ALOX12B,Arachidonic acid metabolism
hsa00590,27306,HPGDS,Arachidonic acid metabolism
hsa00590,10728,PTGES3,Arachidonic acid metabolism
hsa00592,9415,FADS2,alpha-Linolenic acid metabolism
hsa00600,4759,NEU2,Sphingolipid metabolism
hsa00601,2528,FUT6,Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00601,2526,FUT4,Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00601,2527,FUT5,Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00601,10690,FUT9,Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00601,2523,FUT1,Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00601,2529,FUT7,Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00603,2523,FUT1,Glycosphingolipid biosynthesis - globo and isoglobo series
hsa00603,10690,FUT9,Glycosphingolipid biosynthesis - globo and isoglobo series
hsa00620,92483,LDHAL6B,Pyruvate metabolism
hsa00620,5161,PDHA2,Pyruvate metabolism
hsa00620,4200,ME2,Pyruvate metabolism
hsa00620,3939,LDHA,Pyruvate metabolism
hsa00620,3948,LDHC,Pyruvate metabolism
hsa00620,131,ADH7,Pyruvate metabolism
hsa00630,54363,HAO1,Glyoxylate and dicarboxylate metabolism
hsa00630,2731,GLDC,Glyoxylate and dicarboxylate metabolism
hsa00630,51179,HAO2,Glyoxylate and dicarboxylate metabolism
hsa00640,3948,LDHC,Propanoate metabolism
hsa00640,92483,LDHAL6B,Propanoate metabolism
hsa00640,23417,MLYCD,Propanoate metabolism
hsa00640,35,ACADS,Propanoate metabolism
hsa00640,3939,LDHA,Propanoate metabolism
hsa00650,54988,ACSM5,Butanoate metabolism
hsa00650,3158,HMGCS2,Butanoate metabolism
hsa00650,116285,ACSM1,Butanoate metabolism
hsa00650,35,ACADS,Butanoate metabolism
hsa00670,27232,GNMT,One carbon pool by folate
hsa00670,2731,GLDC,One carbon pool by folate
hsa00670,875,CBS,One carbon pool by folate
hsa00670,4143,MAT1A,One carbon pool by folate
hsa00670,4548,MTR,One carbon pool by folate
hsa00670,10841,FTCD,One carbon pool by folate
hsa00730,251,ALPG,Thiamine metabolism
hsa00730,250,ALPP,Thiamine metabolism
hsa00730,248,ALPI,Thiamine metabolism
hsa00730,79178,THTPA,Thiamine metabolism
hsa00740,54,ACP5,Riboflavin metabolism
hsa00760,10135,NAMPT,Nicotinate and nicotinamide metabolism
hsa00785,116285,ACSM1,Lipoic acid metabolism
hsa00785,5161,PDHA2,Lipoic acid metabolism
hsa00785,11019,LIAS,Lipoic acid metabolism
hsa00785,2731,GLDC,Lipoic acid metabolism
hsa00785,51601,LIPT1,Lipoic acid metabolism
hsa00790,251,ALPG,Folate biosynthesis
hsa00790,7054,TH,Folate biosynthesis
hsa00790,10243,GPHN,Folate biosynthesis
hsa00790,248,ALPI,Folate biosynthesis
hsa00790,250,ALPP,Folate biosynthesis
hsa00790,4337,MOCS1,Folate biosynthesis
hsa00830,131,ADH7,Retinol metabolism
hsa00830,8630,HSD17B6,Retinol metabolism
hsa00830,8694,DGAT1,Retinol metabolism
hsa00830,216,ALDH1A1,Retinol metabolism
hsa00830,9227,LRAT,Retinol metabolism
hsa00860,2495,FTH1,Porphyrin metabolism
hsa00860,9843,HEPH,Porphyrin metabolism
hsa00860,2512,FTL,Porphyrin metabolism
hsa00860,2395,FXN,Porphyrin metabolism
hsa00860,3145,HMBS,Porphyrin metabolism
hsa00860,1371,CPOX,Porphyrin metabolism
hsa00900,3158,HMGCS2,Terpenoid backbone biosynthesis
hsa00900,2339,FNTA,Terpenoid backbone biosynthesis
hsa00900,23590,PDSS1,Terpenoid backbone biosynthesis
hsa00900,4597,MVD,Terpenoid backbone biosynthesis
hsa00910,766,CA7,Nitrogen metabolism
hsa00910,23632,CA14,Nitrogen metabolism
hsa00910,1373,CPS1,Nitrogen metabolism
hsa00910,762,CA4,Nitrogen metabolism
hsa00910,765,CA6,Nitrogen metabolism
hsa00910,761,CA3,Nitrogen metabolism
hsa00910,768,CA9,Nitrogen metabolism
hsa00910,759,CA1,Nitrogen metabolism
hsa00970,23438,HARS2,Aminoacyl-tRNA biosynthesis
hsa00970,23395,LARS2,Aminoacyl-tRNA biosynthesis
hsa00970,55157,DARS2,Aminoacyl-tRNA biosynthesis
hsa00980,2944,GSTM1,Metabolism of xenobiotics by cytochrome P450
hsa00980,218,ALDH3A1,Metabolism of xenobiotics by cytochrome P450
hsa00980,27306,HPGDS,Metabolism of xenobiotics by cytochrome P450
hsa00980,2949,GSTM5,Metabolism of xenobiotics by cytochrome P450
hsa00980,2938,GSTA1,Metabolism of xenobiotics by cytochrome P450
hsa00980,2948,GSTM4,Metabolism of xenobiotics by cytochrome P450
hsa00980,25774,GSTT4,Metabolism of xenobiotics by cytochrome P450
hsa00980,3290,HSD11B1,Metabolism of xenobiotics by cytochrome P450
hsa00980,2953,GSTT2,Metabolism of xenobiotics by cytochrome P450
hsa00980,131,ADH7,Metabolism of xenobiotics by cytochrome P450
hsa00982,2328,FMO3,Drug metabolism - cytochrome P450
hsa00982,2326,FMO1,Drug metabolism - cytochrome P450
hsa00982,2953,GSTT2,Drug metabolism - cytochrome P450
hsa00982,25774,GSTT4,Drug metabolism - cytochrome P450
hsa00982,2938,GSTA1,Drug metabolism - cytochrome P450
hsa00982,27306,HPGDS,Drug metabolism - cytochrome P450
hsa00982,2948,GSTM4,Drug metabolism - cytochrome P450
hsa00982,218,ALDH3A1,Drug metabolism - cytochrome P450
hsa00982,2949,GSTM5,Drug metabolism - cytochrome P450
hsa00982,2944,GSTM1,Drug metabolism - cytochrome P450
hsa00982,131,ADH7,Drug metabolism - cytochrome P450
hsa00983,2944,GSTM1,Drug metabolism - other enzymes
hsa00983,2938,GSTA1,Drug metabolism - other enzymes
hsa00983,2953,GSTT2,Drug metabolism - other enzymes
hsa00983,2949,GSTM5,Drug metabolism - other enzymes
hsa00983,2948,GSTM4,Drug metabolism - other enzymes
hsa00983,25774,GSTT4,Drug metabolism - other enzymes
hsa00983,10,NAT2,Drug metabolism - other enzymes
hsa00983,4353,MPO,Drug metabolism - other enzymes
hsa00983,7083,TK1,Drug metabolism - other enzymes
hsa01040,9200,HACD1,Biosynthesis of unsaturated fatty acids
hsa01040,11332,ACOT7,Biosynthesis of unsaturated fatty acids
hsa01040,9415,FADS2,Biosynthesis of unsaturated fatty acids
hsa01100,3425,IDUA,Metabolic pathways
hsa01100,131,ADH7,Metabolic pathways
hsa01100,766,CA7,Metabolic pathways
hsa01100,29940,DSE,Metabolic pathways
hsa01100,10,NAT2,Metabolic pathways
hsa01100,7841,MOGS,Metabolic pathways
hsa01100,54988,ACSM5,Metabolic pathways
hsa01100,51102,MECR,Metabolic pathways
hsa01100,768,CA9,Metabolic pathways
hsa01100,3948,LDHC,Metabolic pathways
hsa01100,765,CA6,Metabolic pathways
hsa01100,9415,FADS2,Metabolic pathways
hsa01100,2346,FOLH1,Metabolic pathways
hsa01100,2998,GYS2,Metabolic pathways
hsa01100,1607,DGKB,Metabolic pathways
hsa01100,242,ALOX12B,Metabolic pathways
hsa01100,3158,HMGCS2,Metabolic pathways
hsa01100,8564,KMO,Metabolic pathways
hsa01100,79147,FKRP,Metabolic pathways
hsa01100,51179,HAO2,Metabolic pathways
hsa01100,9162,DGKI,Metabolic pathways
hsa01100,11332,ACOT7,Metabolic pathways
hsa01100,159,ADSS2,Metabolic pathways
hsa01100,248,ALPI,Metabolic pathways
hsa01100,3631,INPP4A,Metabolic pathways
hsa01100,8309,ACOX2,Metabolic pathways
hsa01100,1152,CKB,Metabolic pathways
hsa01100,8509,NDST2,Metabolic pathways
hsa01100,7083,TK1,Metabolic pathways
hsa01100,8513,LIPF,Metabolic pathways
hsa01100,27089,UQCRQ,Metabolic pathways
hsa01100,1610,DAO,Metabolic pathways
hsa01100,3034,HAL,Metabolic pathways
hsa01100,251,ALPG,Metabolic pathways
hsa01100,1339,COX6A2,Metabolic pathways
hsa01100,762,CA4,Metabolic pathways
hsa01100,1621,DBH,Metabolic pathways
hsa01100,2597,GAPDH,Metabolic pathways
hsa01100,9200,HACD1,Metabolic pathways
hsa01100,2523,FUT1,Metabolic pathways
hsa01100,10135,NAMPT,Metabolic pathways
hsa01100,4725,NDUFS5,Metabolic pathways
hsa01100,1371,CPOX,Metabolic pathways
hsa01100,2526,FUT4,Metabolic pathways
hsa01100,9215,LARGE1,Metabolic pathways
hsa01100,3990,LIPC,Metabolic pathways
hsa01100,9227,LRAT,Metabolic pathways
hsa01100,10157,AASS,Metabolic pathways
hsa01100,10841,FTCD,Metabolic pathways
hsa01100,1346,COX7A1,Metabolic pathways
hsa01100,5161,PDHA2,Metabolic pathways
hsa01100,4697,NDUFA4,Metabolic pathways
hsa01100,790,CAD,Metabolic pathways
hsa01100,92483,LDHAL6B,Metabolic pathways
hsa01100,25774,GSTT4,Metabolic pathways
hsa01100,10855,HPSE,Metabolic pathways
hsa01100,8908,GYG2,Metabolic pathways
hsa01100,23498,HAAO,Metabolic pathways
hsa01100,9108,MTMR7,Metabolic pathways
hsa01100,3284,HSD3B2,Metabolic pathways
hsa01100,1608,DGKG,Metabolic pathways
hsa01100,527,ATP6V0C,Metabolic pathways
hsa01100,23632,CA14,Metabolic pathways
hsa01100,1327,COX4I1,Metabolic pathways
hsa01100,1788,DNMT3A,Metabolic pathways
hsa01100,3291,HSD11B2,Metabolic pathways
hsa01100,514,ATP5F1E,Metabolic pathways
hsa01100,3795,KHK,Metabolic pathways
hsa01100,250,ALPP,Metabolic pathways
hsa01100,3293,HSD17B3,Metabolic pathways
hsa01100,33,ACADL,Metabolic pathways
hsa01100,4708,NDUFB2,Metabolic pathways
hsa01100,875,CBS,Metabolic pathways
hsa01100,10243,GPHN,Metabolic pathways
hsa01100,79823,CAMKMT,Metabolic pathways
hsa01100,3242,HPD,Metabolic pathways
hsa01100,35,ACADS,Metabolic pathways
hsa01100,8372,HYAL3,Metabolic pathways
hsa01100,270,AMPD1,Metabolic pathways
hsa01100,2948,GSTM4,Metabolic pathways
hsa01100,4337,MOCS1,Metabolic pathways
hsa01100,4597,MVD,Metabolic pathways
hsa01100,2326,FMO1,Metabolic pathways
hsa01100,51601,LIPT1,Metabolic pathways
hsa01100,80168,MOGAT2,Metabolic pathways
hsa01100,2949,GSTM5,Metabolic pathways
hsa01100,216,ALDH1A1,Metabolic pathways
hsa01100,23553,HYAL4,Metabolic pathways
hsa01100,11019,LIAS,Metabolic pathways
hsa01100,80201,HKDC1,Metabolic pathways
hsa01100,262,AMD1,Metabolic pathways
hsa01100,411,ARSB,Metabolic pathways
hsa01100,9348,NDST3,Metabolic pathways
hsa01100,509,ATP5F1C,Metabolic pathways
hsa01100,27232,GNMT,Metabolic pathways
hsa01100,2938,GSTA1,Metabolic pathways
hsa01100,9365,KL,Metabolic pathways
hsa01100,2953,GSTT2,Metabolic pathways
hsa01100,3373,HYAL1,Metabolic pathways
hsa01100,5336,PLCG2,Metabolic pathways
hsa01100,4759,NEU2,Metabolic pathways
hsa01100,7054,TH,Metabolic pathways
hsa01100,15,AANAT,Metabolic pathways
hsa01100,79178,THTPA,Metabolic pathways
hsa01100,3290,HSD11B1,Metabolic pathways
hsa01100,3938,LCT,Metabolic pathways
hsa01100,218,ALDH3A1,Metabolic pathways
hsa01100,2875,GPT,Metabolic pathways
hsa01100,8527,DGKD,Metabolic pathways
hsa01100,2819,GPD1,Metabolic pathways
hsa01100,54,ACP5,Metabolic pathways
hsa01100,239,ALOX12,Metabolic pathways
hsa01100,10975,UQCR11,Metabolic pathways
hsa01100,2272,FHIT,Metabolic pathways
hsa01100,8528,DDO,Metabolic pathways
hsa01100,2528,FUT6,Metabolic pathways
hsa01100,116285,ACSM1,Metabolic pathways
hsa01100,2712,GK2,Metabolic pathways
hsa01100,60495,HPSE2,Metabolic pathways
hsa01100,6611,SMS,Metabolic pathways
hsa01100,51171,HSD17B14,Metabolic pathways
hsa01100,2937,GSS,Metabolic pathways
hsa01100,3067,HDC,Metabolic pathways
hsa01100,8277,TKTL1,Metabolic pathways
hsa01100,5213,PFKM,Metabolic pathways
hsa01100,10632,ATP5MG,Metabolic pathways
hsa01100,247,ALOX15B,Metabolic pathways
hsa01100,9677,PPIP5K1,Metabolic pathways
hsa01100,1644,DDC,Metabolic pathways
hsa01100,3145,HMBS,Metabolic pathways
hsa01100,2529,FUT7,Metabolic pathways
hsa01100,22876,INPP5F,Metabolic pathways
hsa01100,4282,MIF,Metabolic pathways
hsa01100,3283,HSD3B1,Metabolic pathways
hsa01100,23205,ACSBG1,Metabolic pathways
hsa01100,5198,PFAS,Metabolic pathways
hsa01100,2879,GPX4,Metabolic pathways
hsa01100,51816,ADA2,Metabolic pathways
hsa01100,2731,GLDC,Metabolic pathways
hsa01100,8694,DGAT1,Metabolic pathways
hsa01100,64579,NDST4,Metabolic pathways
hsa01100,1160,CKMT2,Metabolic pathways
hsa01100,5210,PFKFB4,Metabolic pathways
hsa01100,1350,COX7C,Metabolic pathways
hsa01100,4143,MAT1A,Metabolic pathways
hsa01100,23417,MLYCD,Metabolic pathways
hsa01100,81616,ACSBG2,Metabolic pathways
hsa01100,2944,GSTM1,Metabolic pathways
hsa01100,506,ATP5F1B,Metabolic pathways
hsa01100,2527,FUT5,Metabolic pathways
hsa01100,1609,DGKQ,Metabolic pathways
hsa01100,1036,CDO1,Metabolic pathways
hsa01100,59344,ALOXE3,Metabolic pathways
hsa01100,10728,PTGES3,Metabolic pathways
hsa01100,23127,COLGALT2,Metabolic pathways
hsa01100,8789,FBP2,Metabolic pathways
hsa01100,54363,HAO1,Metabolic pathways
hsa01100,1789,DNMT3B,Metabolic pathways
hsa01100,761,CA3,Metabolic pathways
hsa01100,1638,DCT,Metabolic pathways
hsa01100,3101,HK3,Metabolic pathways
hsa01100,56901,NDUFA4L2,Metabolic pathways
hsa01100,22875,ENPP4,Metabolic pathways
hsa01100,5207,PFKFB1,Metabolic pathways
hsa01100,10690,FUT9,Metabolic pathways
hsa01100,9588,PRDX6,Metabolic pathways
hsa01100,1373,CPS1,Metabolic pathways
hsa01100,23305,ACSL6,Metabolic pathways
hsa01100,883,KYAT1,Metabolic pathways
hsa01100,51805,COQ3,Metabolic pathways
hsa01100,1158,CKM,Metabolic pathways
hsa01100,8630,HSD17B6,Metabolic pathways
hsa01100,9388,LIPG,Metabolic pathways
hsa01100,759,CA1,Metabolic pathways
hsa01100,4548,MTR,Metabolic pathways
hsa01100,57818,G6PC2,Metabolic pathways
hsa01100,27124,INPP5J,Metabolic pathways
hsa01100,2184,FAH,Metabolic pathways
hsa01100,57103,TIGAR,Metabolic pathways
hsa01100,3939,LDHA,Metabolic pathways
hsa01100,27306,HPGDS,Metabolic pathways
hsa01100,383,ARG1,Metabolic pathways
hsa01100,3081,HGD,Metabolic pathways
hsa01100,2880,GPX5,Metabolic pathways
hsa01100,2822,GPLD1,Metabolic pathways
hsa01100,3706,ITPKA,Metabolic pathways
hsa01100,2328,FMO3,Metabolic pathways
hsa01200,3101,HK3,Carbon metabolism
